,RBF_Kernel,Matern_Kernel,Periodic_Kernel,Stock50,SmartMeter,HousePricing,MNIST,SVHN,CelebA32
0,0.262285888,0.363150837,0.576827115,0.449334177,0.279073214,0.342803312,0.363799188,0.186304757,0.184310252
1,0.200531419,0.349231052,0.594416462,0.407678609,0.279073258,0.305154463,0.344466139,0.149299646,0.167182118
2,0.1997625,0.348417422,0.585513259,0.390294178,0.279073238,0.286111175,0.344251707,0.138719017,0.152868763
3,0.199464884,0.348366295,0.579995214,0.38331635,0.279073238,0.274915655,0.343746968,0.13293427,0.146170775
4,0.199265352,0.348045023,0.577391352,0.377837821,0.279073238,0.269767575,0.343604606,0.128882524,0.137144888
5,0.199117356,0.347622355,0.576707959,0.372998987,0.279073238,0.264607866,0.343457844,0.125516035,0.136008228
6,0.199062572,0.347114944,0.575279526,0.370836345,0.279073238,0.262432108,0.343335386,0.123010988,0.133510525
7,0.198972564,0.347196486,0.574184103,0.369212147,0.279073238,0.259942107,0.342969436,0.120790853,0.130871683
8,0.19888004,0.347094895,0.573295982,0.36762869,0.279073238,0.258310983,0.342374913,0.118806524,0.126780103
9,0.19886008,0.347019783,0.572459515,0.365908335,0.279073238,0.256824882,0.342083439,0.116905463,0.126141012
